"sourceRow","accountNumber","sourceX","sourceY","sourceCrs","sectionCode","installationYear","installationAngleDeg","elevationM","outletCount","flowLps","metadataJson"
"144","1677","783668.6997","2467041.951","UNKNOWN","19","2025","45","1920.8677","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":142}"
"170","1678","784892.992525","2465590.08571","UNKNOWN","19","2025","0","0","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":168}"
"95","1680","784451.4825","2465506.074","UNKNOWN","19","2025","120","1919.9572","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":93}"
"167","1682","783824.916232","2466682.95049","UNKNOWN","19","2025","135","0","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":165}"
"128","1683","783609.399159","2465482.86579","UNKNOWN","19","2025","60","1919.916","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":126}"
"134","1684","783306.7807","2466317.651","UNKNOWN","19","2025","0","1918.7533","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":132}"
"126","1685","783215.043257","2465620.99733","UNKNOWN","19","2025","130","1917.5835","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":124}"
"141","1686","783459.3061","2465972.56","UNKNOWN","19","2025","180","1917.868","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":139}"
"136","1687","783096.2429","2466398.085","UNKNOWN","19","2025","90","1919.0798","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":134}"
"131","1688","783294.648671","2465825.97034","UNKNOWN","19","2025","135","0","0","10","{""feature_name"":""<UNNAMED FEATURE>"",""feature_type"":""Unknown Point Feature"",""layer"":""Cabezal de riego"",""feature_description"":""Cabezal de riego"",""feature_layer_name"":""Hidrantes_ddr001.shp"",""index_in_layer"":129}"
