"sourceRow","originalAccount","normalizedAccount","field","originalValue","normalizedValue","reasonCode","reasonDescription","suggestedAction","severity"
"1490","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1491","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1492","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1493","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1494","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1495","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1496","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1497","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1498","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1499","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1500","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1501","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1502","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1503","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1504","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1505","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1506","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1507","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
"1508","0","0","account_number","0","0","ACCOUNT_INVALID_FORMAT","La cuenta es cero o excede 50 caracteres.","Corregir la cuenta en el archivo fuente.","error"
