"account","sourceRows","exact","selectedRow","matchingFields","conflictingFields","proposal"
"1170","455|476","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"1188","459|464","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1190","460|532","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1205","488|505","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1230","496|517","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1229","497|518","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"941","501|506","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1207","509|510","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1208","511|512","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg","sourceX|sourceY|elevationM|outletCount|flowLps","Revisar manualmente; existen valores contradictorios."
"1283","534|610","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"1295","542|552","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
